FID,mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,stop_id,total_ons,total_offs,number_service_days
3648,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Riverside,place-river,917,0,82
3649,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Reservoir,place-rsmnl,1631,220,82
3650,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Riverway,place-rvrwy,251,0,82
3651,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Saint Mary Street,place-smary,581,147,82
3652,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,South Street,place-sougr,235,5,82
3653,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Science Park,place-spmnl,4,480,82
3654,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Sutherland Road,place-sthld,1343,6,82
3655,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Saint Paul Street,place-stplb,187,121,82
3656,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Saint Paul Street,place-stpul,616,20,82
3657,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Summit Ave.,place-sumav,640,15,82
3658,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Symphony,place-symcl,328,34,82
3659,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Tappan Street,place-tapst,924,12,82
3660,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Waban,place-waban,579,7,82
3661,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Washington Street,place-wascm,2326,16,82
3662,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Woodland,place-woodl,1275,3,82
3663,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Warren Street,place-wrnst,1277,13,82
3664,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Allston Street,place-alsgr,4593,91,82
3665,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Arlington,place-armnl,3688,8918,82
3666,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Babcock Street,place-babck,998,291,82
3667,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Back of the Hill,place-bckhl,480,13,82
3668,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Sutherland Road,place-sthld,5303,364,82
3669,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Longwood Medical Area,place-lngmd,12068,1466,82
3670,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Science Park,place-spmnl,32,2346,82
3671,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Saint Paul Street,place-stplb,8692,1732,82
3672,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Hynes Convention Center,place-hymnl,67701,96849,82
3673,0,Fall 2017,Green,Green Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Boston College,place-lake,0,3498,17
3674,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Brandon Hall,place-bndhl,1395,162,82
3675,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Washington Square,place-bcnwa,2921,39,82
3676,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Saint Paul Street,place-stpul,4685,657,82
3677,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Kenmore,place-kencl,116493,67340,82
3678,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Sutherland Road,place-sthld,3624,22,82
3679,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Boylston,place-boyls,37116,61440,82
3680,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Blandford Street,place-bland,136,478,82
3681,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Summit Ave.,place-sumav,4052,1040,82
3682,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Kent Street,place-kntst,7213,1420,82
3683,0,Fall 2017,Green,Green Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Lechmere,place-lech,55317,0,17
3684,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Longwood,place-longw,4667,14615,82
3685,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Saint Paul Street,place-stplb,761,209,82
3686,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Packards Corner,place-brico,15671,3608,82
3687,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Brandon Hall,place-bndhl,1069,23,82
3688,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Symphony,place-symcl,19270,4744,82
3689,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Boston College,place-lake,7685,0,82
3690,0,Fall 2017,Green,Green Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Longwood Medical Area,place-lngmd,891,11388,17
3691,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Museum of Fine Arts,place-mfa,7120,1098,82
3692,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Saint Paul Street,place-stpul,2380,46,82
3693,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Brookline Hills,place-brkhl,11789,1649,82
3694,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Boylston,place-boyls,2383,14063,82
3695,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Tappan Street,place-tapst,4585,220,82
3696,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Lechmere,place-lech,0,74991,82
3697,0,Fall 2017,Green,Green Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Longwood,place-longw,3060,5292,17
3698,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Mission Park,place-mispk,12128,357,82
3699,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Summit Ave.,place-sumav,2553,68,82
3700,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Brigham Circle,place-brmnl,27391,657,82
3701,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Packards Corner,place-brico,3264,295,82
3702,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Waban,place-waban,3651,267,82
3703,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Washington Street,place-wascm,11442,1314,82
3704,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Woodland,place-woodl,7236,115,82
3705,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Warren Street,place-wrnst,14407,876,82
3706,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Allston Street,place-alsgr,7941,1808,82
3707,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Arlington,place-armnl,198672,45720,82
3708,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Babcock Street,place-babck,17087,1931,82
3709,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Back of the Hill,place-bckhl,945,83,82
3710,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Beaconsfield,place-bcnfd,6999,3523,82
3711,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Washington Square,place-bcnwa,8197,557,82
3712,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Blandford Street,place-bland,11154,5064,82
3713,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Brandon Hall,place-bndhl,1792,354,82
3714,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Boylston,place-boyls,64225,80753,82
3715,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Packards Corner,place-brico,15007,4111,82
3716,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Brookline Hills,place-brkhl,12516,2562,82
3717,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Brigham Circle,place-brmnl,37492,632,82
3718,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Boston Univ. Central,place-bucen,18481,6423,82
3719,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Boston Univ. East,place-buest,12412,5467,82
3720,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Boston Univ. West,place-buwst,12058,2177,82
3721,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Brookline Village,place-bvmnl,22886,10886,82
3722,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Chestnut Hill,place-chhil,19803,1161,82
3723,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Chestnut Hill Ave.,place-chill,6351,377,82
3724,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Chiswick Road,place-chswk,4307,670,82
3725,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Cleveland Circle,place-clmnl,8773,0,82
3726,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Copley,place-coecl,229380,145140,82
3727,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_06,PM_PEAK,Coolidge Corner,place-cool,25096,4776,82
